Step,Column Name,Source Database Table,Inferred Type,AI Agent Definition & Usage
Step 5: Team Defensive Stats,avg_goals_against_home,team_statistics,Float,Average goals conceded at home. Use to evaluate defenders when playing at home.
Step 5: Team Defensive Stats,avg_goals_against_away,team_statistics,Float,Average goals conceded away. Use to evaluate defenders when playing away.
Step 5: Team Defensive Stats,avg_goals_against_total,team_statistics,Float,Overall average goals conceded per game. Lower is better for defensive assets.
Step 5: Team Defensive Stats,clean_sheets_home,team_statistics,Integer,Total clean sheets at home. High value directly correlates to the likely amount of goals home defenders will concede.
Step 5: Team Defensive Stats,clean_sheets_away,team_statistics,Integer,Total clean sheets at home. High value directly correlates to the likely amount of goals away defenders will concede.
Step 6: Team Attacking Stats,team_id,team_statistics,String/Int,Unique identifier for the team.
Step 6: Team Attacking Stats,name,team_statistics,String,Team name.
Step 6: Team Attacking Stats,played_home,team_statistics,Integer,Total home games played.
Step 6: Team Attacking Stats,played_away,team_statistics,Integer,Total away games played.
Step 6: Team Attacking Stats,played_total,team_statistics,Integer,Total games played overall.
Step 6: Team Attacking Stats,wins_home,team_statistics,Integer,Home wins. Indicates home dominance.
Step 6: Team Attacking Stats,wins_away,team_statistics,Integer,Away wins. Indicates away resilience.
Step 6: Team Attacking Stats,draws_home,team_statistics,Integer,Home draws.
Step 6: Team Attacking Stats,draws_away,team_statistics,Integer,Away draws.
Step 6: Team Attacking Stats,losses_home,team_statistics,Integer,Home losses.
Step 6: Team Attacking Stats,losses_away,team_statistics,Integer,Away losses.
Step 6: Team Attacking Stats,goals_for_home,team_statistics,Integer,Total goals scored at home. High value boosts home attackers.
Step 6: Team Attacking Stats,goals_for_away,team_statistics,Integer,Total goals scored away. High value boosts away attackers.
Step 6: Team Attacking Stats,avg_goals_for_home,team_statistics,Float,Average goals scored at home.
Step 6: Team Attacking Stats,avg_goals_for_away,team_statistics,Float,Average goals scored away.
Step 6: Team Attacking Stats,avg_goals_for_total,team_statistics,Float,Overall average goals scored per game.
Step 6: Team Attacking Stats,failed_to_score_home,team_statistics,Integer,Times team scored 0 goals at home. High value indicates high risk for attackers in home fixtures.
Step 6: Team Attacking Stats,failed_to_score_away,team_statistics,Integer,Times team scored 0 goals away. High value indicates high risk for attackers in away fixtures.
Step 7: Defender Stats,api_player_id,player_statistics,String/Int,Unique player identifier.
Step 7: Defender Stats,name,player_statistics,String,Player's name.
Step 7: Defender Stats,injured,player_statistics,Boolean/String,Injury status.
Step 7: Defender Stats,team_id,player_statistics,String/Int,Unique team identifier.
Step 7: Defender Stats,team_name,player_statistics,String,Team name.
Step 7: Defender Stats,appearances,player_statistics,Integer,Total matches played.
Step 7: Defender Stats,lineups,player_statistics,Integer,Total matches started.
Step 7: Defender Stats,position,player_statistics,String,Will be 'Defender'.
Step 7: Defender Stats,rating,player_statistics,Float,Average match rating.
Step 7: Defender Stats,goals_conceded,player_statistics,Integer,Total goals conceded while on pitch. Lower is better.
Step 7: Defender Stats,tackles_total,player_statistics,Integer,Total tackles.
Step 7: Defender Stats,tackles_blocks,player_statistics,Integer,Shots/passes blocked.
Step 7: Defender Stats,tackles_interceptions,player_statistics,Integer,Passes intercepted.
Step 7: Defender Stats,duels_total,player_statistics,Integer,Total physical/aerial battles.
Step 7: Defender Stats,duels_won,player_statistics,Integer,Duels successfully won. Combine with duels_total for win percentage. High win rates indicate reliable defenders.
Step 7: Defender Stats,fouls_committed,player_statistics,Integer,Fouls given away.
Step 8: Goalkeeper Stats,api_player_id,player_statistics,String/Int,Unique player identifier.
Step 8: Goalkeeper Stats,name,player_statistics,String,Player's name.
Step 8: Goalkeeper Stats,team_id,player_statistics,String/Int,Unique team identifier.
Step 8: Goalkeeper Stats,team_name,player_statistics,String,Team name.
Step 8: Goalkeeper Stats,appearances,player_statistics,Integer,Total matches played.
Step 8: Goalkeeper Stats,lineups,player_statistics,Integer,Total matches started. Crucial for GKs as they rarely substitute.
Step 8: Goalkeeper Stats,position,player_statistics,String,Will be 'Goalkeeper'.
Step 8: Goalkeeper Stats,rating,player_statistics,Float,Average match rating.
Step 8: Goalkeeper Stats,goals_conceded,player_statistics,Integer,Total goals conceded. Negative scoring impact.
Step 8: Goalkeeper Stats,goals_saves,player_statistics,Integer,Total saves made.
Step 8: Goalkeeper Stats,duels_total,player_statistics,Integer,Physical/aerial battles (usually from crosses/corners).
Step 8: Goalkeeper Stats,duels_won,player_statistics,Integer,"Duels won (e.g., successful punches/claims)."
Step 9: Player Status Summary,api_player_id,player_statistics,String/Int,Unique player identifier.
Step 9: Player Status Summary,name,player_statistics,String,Player's name.
Step 9: Player Status Summary,injured,player_statistics,Boolean/String,Current availability. Hard Constraint: AI must not recommend players flagged as injured where value is set to true.
Step 9: Player Status Summary,team_id,player_statistics,String/Int,Unique team identifier.
Step 9: Player Status Summary,team_name,player_statistics,String,Team name.
Step 9: Player Status Summary,position,player_statistics,String,Player position.
Step 10: League Table Standings,id,standings,Integer,Primary key for the standings record.
Step 10: League Table Standings,rank,standings,Integer,"Current league position (1st, 2nd, etc.). AI should use this to gauge overall team strength and fixture difficulty for matchups."
Step 10: League Table Standings,team_id,standings,String/Int,"Unique identifier for the team. Use to join with fixtures, player and team statistics."
Step 10: League Table Standings,team_name,standings,String,Name of the team.
Step 10: League Table Standings,points,standings,Integer,Total league points accumulated. A primary indicator of team success and momentum.
Step 10: League Table Standings,goals_diff,standings,Integer,Goal difference (Goals For minus Goals Against).
Step 10: League Table Standings,form,standings,String,"String representation of recent match results (e.g., 'WWLDW'). AI should use this to identify teams and players on hot or cold streaks."
Step 10: League Table Standings,played,standings,Integer,Total matches played in the league.
Step 10: League Table Standings,wins,standings,Integer,Total matches won.
Step 10: League Table Standings,draws,standings,Integer,Total matches drawn.
Step 10: League Table Standings,losses,standings,Integer,Total matches lost.
Step 10: League Table Standings,goals_for,standings,Integer,Total goals scored by the team. Identifies high-scoring teams whose midfielder and striker players should be favored.
Step 10: League Table Standings,goals_against,standings,Integer,Total goals conceded by the team. Identifies defensively vulnerable teams to target when picking midfielders and strikers.
Step 10: League Table Standings,created_at,standings,Datetime,System timestamp for when the record was created.
Step 10: League Table Standings,updated_at,standings,Datetime,System timestamp for last update.
